timestamp,price,quantity,side
1746147386379,96982.80000000,0.00052000,buy
1746147387386,96989.83000000,0.00033000,buy
1746147563458,96994.61000000,0.00239000,buy
1746147604298,96994.61000000,0.00001000,buy
1746147604298,97000.00000000,0.02147000,buy
1746147606336,96994.98000000,0.00007000,sell
1746147617551,97044.61000000,0.00007000,buy
1746147617551,97045.75000000,0.00013000,buy
1746147618198,97067.48000000,0.00028000,sell
1746147618558,97093.73000000,0.00152000,buy
1746147619208,97093.74000000,0.00058000,sell
1746147620339,97093.74000000,0.00103000,sell
1746147699761,97093.74000000,0.01251000,sell
1746147700858,97093.74000000,0.01100000,sell
1746147702729,97093.74000000,0.01194000,sell
1746147703740,97093.74000000,0.01194000,sell
1746147705000,97093.74000000,0.01786000,sell
1746147709369,97093.74000000,0.01025000,sell
1746147709974,97093.74000000,0.00543000,sell
1746147711155,97093.74000000,0.01681000,sell
1746147712163,97093.74000000,0.01681000,sell
1746147717998,97093.74000000,0.04819000,sell
1746147856469,97031.96000000,0.00002000,sell
1746148019417,97022.11000000,0.00084000,sell
1746148264732,97033.35000000,0.00002000,buy
1746148311540,96972.53000000,0.00062000,sell
1746148396786,96942.83000000,0.00006000,sell
1746148633069,97010.35000000,0.00005000,buy
1746148833360,97080.60000000,0.00002000,sell
1746148861925,97131.93000000,0.00295000,buy
1746148880473,97131.13000000,0.00123000,buy
1746148886079,97051.42000000,0.00029000,sell
1746149017584,97170.01000000,0.00041000,buy
1746149068603,97160.75000000,0.00014000,buy
1746149097522,97077.54000000,0.00057000,sell
1746149161026,97031.06000000,0.00026000,sell
1746149451102,96944.63000000,0.00009000,sell
1746149456665,96917.04000000,0.00027000,sell
1746149663403,96917.01000000,0.00002000,sell
1746149699107,96917.01000000,0.00117000,sell
1746149728178,96977.96000000,0.00003000,buy
1746149755977,96917.17000000,0.00031000,sell
1746149850925,97013.67000000,0.00003000,buy
1746150003008,96917.09000000,0.00113000,sell
1746150129578,96917.00000000,0.00007000,sell
